condition,timepoint,c-Citrineperod,c-Citrineperodvar
"2% Glu,1 IPTG",905.215,2600.37099,56186.39305
"2% Glu,1 IPTG",915.865,2576.208601,57699.89899
"2% Glu,1 IPTG",926.515,2565.559684,51612.26244
"2% Glu,1 IPTG",937.1641667,2556.892597,56688.32513
"2% Glu,1 IPTG",947.8133333,2547.429591,50714.7214
"2% Glu,1 IPTG",958.4633333,2537.185228,52839.22793
"2% Glu,1 IPTG",969.1116667,2559.504451,53073.57166
"2% Glu,1 IPTG",979.7616667,2550.761532,52797.86847
"2% Glu,1 IPTG",990.4108333,2555.693859,50079.60476
"2% Glu,1 IPTG",1001.06,2532.197527,53129.6619
"2% Glu,1 IPTG",1011.709167,2569.747819,48010.10203
"2% Glu,1 IPTG",1022.359167,2570.013552,50096.59226
"2% Glu,1 IPTG",1033.008333,2556.174285,54667.24714
"2% Glu,1 IPTG",1043.659167,2574.331808,51626.7171
"2% Glu,1 IPTG",1054.3075,2592.704173,50042.97995
"2% Glu,1 IPTG",1064.956667,2564.47599,49728.28971
"2% Glu,1 IPTG",1075.606667,2575.300255,46327.73753
"2% Glu,1 IPTG",1086.255833,2588.287692,52315.05492
"2% Glu,1 IPTG",1096.905833,2601.201593,51556.68883
"2% Glu,1 IPTG",1107.555833,2597.596998,54911.77795
"2% Glu,1 IPTG",1118.205833,2598.672075,49495.43569
"2% Glu,1 IPTG",1128.854167,2631.458862,54015.63438
"2% Glu,1 IPTG",1139.504167,2624.0236,52086.40388
"2% Glu,1 IPTG",1150.1525,2625.419123,49146.60784
"2% Glu,1 IPTG",1160.801667,2642.648525,48332.33154
"2% Glu,1 IPTG",1171.451667,2618.333761,47580.8919
"2% Glu,1 IPTG",1182.100833,2669.891734,45676.75915
"2% Glu,1 IPTG",1192.750833,2670.864414,45636.019
"2% Glu,1 IPTG",1203.4,2696.302277,46538.0858
"2% Glu,1 IPTG",1214.05,2731.96268,48305.36654
"2% Glu,1 IPTG",1224.7,2734.116515,44042.25468
"2% Glu,1 IPTG",1235.35,2746.647193,52793.27505
"2% Glu,1 IPTG",1245.998333,2705.952854,42900.42956
"2% Glu,1 IPTG",1256.6475,2717.360719,43658.10086
"2% Glu,1 IPTG",1267.296667,2705.003648,43175.12787
"2% Glu,1 IPTG",1277.946667,2712.54462,39835.57769
"2% Glu,1 IPTG",1288.595833,2781.919906,42344.82685
"2% Glu,1 IPTG",1299.245833,2773.654075,44484.52175
"2% Glu,1 IPTG",1309.895833,2766.131597,43364.31818
"2% Glu,1 IPTG",1320.545,2779.359094,43704.48658
"2% Glu,1 IPTG",1331.195,2763.84911,40524.79321
"2% Glu,1 IPTG",1341.843333,2738.675513,40052.5312
"2% Glu,1 IPTG",1352.493333,2766.860278,35260.79547
"2% Glu,1 IPTG",1363.143333,2770.56862,39181.18036
"2% Glu,1 IPTG",1373.791667,2789.782918,37175.38237
"2% Glu,1 IPTG",1384.441667,2794.25801,34755.38317
"2% Glu,1 IPTG",1395.100833,2790.216153,29463.13126
"2% Glu,1 IPTG",1405.740833,2806.560432,37924.26668
"2% Glu,10 IPTG",0,1153.504648,8108.756961
"2% Glu,10 IPTG",10.65916667,1091.546522,6936.233132
"2% Glu,10 IPTG",21.30833333,1231.419611,6261.470221
"2% Glu,10 IPTG",31.9575,1364.113716,7400.218742
"2% Glu,10 IPTG",42.60666667,1714.453152,6135.630083
"2% Glu,10 IPTG",53.25666667,2115.542121,6015.394674
"2% Glu,10 IPTG",63.90583333,2697.137148,15706.71335
"2% Glu,10 IPTG",74.55583333,3331.605761,4232.403126
"2% Glu,10 IPTG",85.205,3963.869634,10542.97812
"2% Glu,10 IPTG",95.85416667,4527.245551,16777.49918
"2% Glu,10 IPTG",106.5041667,5205.852497,20956.70258
"2% Glu,10 IPTG",117.1533333,5754.387717,13433.59113
"2% Glu,10 IPTG",127.8033333,6400.083611,23930.15544
"2% Glu,10 IPTG",138.4525,6978.590732,20708.71567
"2% Glu,10 IPTG",149.1016667,7665.571174,27670.24825
"2% Glu,10 IPTG",159.7516667,8320.593944,25629.89958
"2% Glu,10 IPTG",170.4008333,8981.409234,20954.91714
"2% Glu,10 IPTG",181.0508333,9759.291539,27260.10422
"2% Glu,10 IPTG",191.7,10461.98623,43741.87079
"2% Glu,10 IPTG",202.35,11378.32441,35110.95512
"2% Glu,10 IPTG",212.9983333,12222.09744,27862.55308
"2% Glu,10 IPTG",223.6483333,13132.42513,46069.90853
"2% Glu,10 IPTG",234.2975,14051.97581,39615.43244
"2% Glu,10 IPTG",244.9466667,14925.38252,36273.59845
"2% Glu,10 IPTG",255.5966667,15818.16997,52151.00681
"2% Glu,10 IPTG",266.2458333,16751.1467,45436.04844
"2% Glu,10 IPTG",276.8958333,17545.27596,71910.2083
"2% Glu,10 IPTG",287.545,18338.69286,78823.81967
"2% Glu,10 IPTG",298.195,19031.65278,90261.31051
"2% Glu,10 IPTG",308.8441667,19570.85165,90208.66603
"2% Glu,10 IPTG",319.4941667,20097.16454,113595.8056
"2% Glu,10 IPTG",330.1433333,20487.00193,100393.4256
"2% Glu,10 IPTG",340.7925,20736.24266,130743.2941
"2% Glu,10 IPTG",351.4425,20936.33472,104588.4184
"2% Glu,10 IPTG",362.0916667,21165.46464,113355.3712
"2% Glu,10 IPTG",372.7416667,21359.18057,121596.2558
"2% Glu,10 IPTG",383.3908333,21607.0731,114547.5277
"2% Glu,10 IPTG",394.0391667,21711.32281,107662.4919
"2% Glu,10 IPTG",404.6891667,21777.3815,106138.7465
"2% Glu,10 IPTG",415.3391667,21895.53533,107179.2998
"2% Glu,10 IPTG",425.9883333,21886.68437,103939.3214
"2% Glu,10 IPTG",436.6375,21757.96452,113185.5099
"2% Glu,10 IPTG",447.2883333,21609.255,140541.5445
"2% Glu,10 IPTG",457.9366667,21409.43979,117394.6828
"2% Glu,10 IPTG",468.5866667,20991.74714,123825.1138
"2% Glu,10 IPTG",479.2358333,20902.38774,119513.1027
"2% Glu,10 IPTG",489.885,20800.95553,123493.0178
"2% Glu,10 IPTG",500.535,20427.22999,122192.2393
"2% Glu,10 IPTG",511.1841667,20171.98202,112814.0799
"2% Glu,10 IPTG",521.8341667,19725.75632,120772.0154
"2% Glu,10 IPTG",532.4833333,19158.51175,107780.0145
"2% Glu,10 IPTG",543.1325,18677.40306,109055.2317
"2% Glu,10 IPTG",553.7825,18237.49212,125062.8967
"2% Glu,10 IPTG",564.4316667,17988.73942,114486.8446
"2% Glu,10 IPTG",575.0808333,17747.77641,95690.02991
"2% Glu,10 IPTG",585.7308333,17415.01236,89023.17246
"2% Glu,10 IPTG",596.38,17163.20269,79525.85111
"2% Glu,10 IPTG",607.0291667,16963.4771,70105.44877
"2% Glu,10 IPTG",617.6791667,16753.27643,107888.3954
"2% Glu,10 IPTG",628.3283333,16538.51651,103852.8788
"2% Glu,10 IPTG",638.9775,16399.97946,102925.8354
"2% Glu,10 IPTG",649.6275,16275.71446,79094.01262
"2% Glu,10 IPTG",660.2766667,16207.9973,101991.1431
"2% Glu,10 IPTG",670.9258333,16052.95611,86900.51659
"2% Glu,10 IPTG",681.5758333,15883.72355,83370.01595
"2% Glu,10 IPTG",692.2366667,15740.39783,93351.53415
"2% Glu,10 IPTG",702.875,15662.63744,92255.16865
"2% Glu,10 IPTG",713.5241667,15570.89985,102590.5476
"2% Glu,10 IPTG",724.1741667,15574.98976,79609.87091
"2% Glu,10 IPTG",734.8233333,15438.16845,81718.03253
"2% Glu,10 IPTG",745.4725,15408.41907,76947.58363
"2% Glu,10 IPTG",756.1225,15327.70518,80615.02206
"2% Glu,10 IPTG",766.7716667,15203.71174,68479.8988
"2% Glu,10 IPTG",777.4208333,15197.55484,75676.87211
"2% Glu,10 IPTG",788.0708333,15116.4189,81678.36131
"2% Glu,10 IPTG",798.7208333,15038.83863,86249.3906
"2% Glu,10 IPTG",809.37,15001.43194,76874.25367
"2% Glu,10 IPTG",820.0208333,14928.1364,84665.06341
"2% Glu,10 IPTG",830.67,14849.43567,86809.83297
"2% Glu,10 IPTG",841.3191667,14970.54115,71636.94355
"2% Glu,10 IPTG",851.9675,14883.31364,65578.88273
"2% Glu,10 IPTG",862.6166667,15056.62207,69006.15602
"2% Glu,10 IPTG",873.2675,15028.27221,66247.44256
"2% Glu,10 IPTG",883.9158333,14964.06786,68752.39953
"2% Glu,10 IPTG",894.5658333,14963.29146,59834.86907
"2% Glu,10 IPTG",905.215,14905.66861,61281.06044
"2% Glu,10 IPTG",915.865,14779.31183,66960.89819
"2% Glu,10 IPTG",926.515,14714.6624,61341.12744
"2% Glu,10 IPTG",937.1641667,14683.3715,61977.71547
"2% Glu,10 IPTG",947.8133333,14630.46076,60806.72958
"2% Glu,10 IPTG",958.4633333,14575.89393,80034.19117
"2% Glu,10 IPTG",969.1116667,14555.0161,72570.80325
"2% Glu,10 IPTG",979.7616667,14623.2044,78541.94384
"2% Glu,10 IPTG",990.4108333,14554.21317,76005.82544
"2% Glu,10 IPTG",1001.06,14485.85,78746.60294
"2% Glu,10 IPTG",1011.709167,14413.70621,55566.04408
"2% Glu,10 IPTG",1022.359167,14433.04056,60258.95935
"2% Glu,10 IPTG",1033.008333,14425.26997,59746.62797
"2% Glu,10 IPTG",1043.659167,14332.43444,67076.55664
"2% Glu,10 IPTG",1054.3075,14326.99546,84251.12265
"2% Glu,10 IPTG",1064.956667,14273.80975,70543.45921
"2% Glu,10 IPTG",1075.606667,14190.38636,62299.25952
"2% Glu,10 IPTG",1086.255833,14215.6167,55908.60665
"2% Glu,10 IPTG",1096.905833,14174.74586,69876.71719
"2% Glu,10 IPTG",1107.555833,14115.38889,67710.10437
"2% Glu,10 IPTG",1118.205833,14071.06448,68796.66452
"2% Glu,10 IPTG",1128.854167,14062.9149,72360.40124
"2% Glu,10 IPTG",1139.504167,14073.60035,83756.73742
"2% Glu,10 IPTG",1150.1525,14168.09947,82641.42967
"2% Glu,10 IPTG",1160.801667,14089.13411,115185.7933
"2% Glu,10 IPTG",1171.451667,14026.79361,119183.0875
"2% Glu,10 IPTG",1182.100833,14039.97083,106252.176
"2% Glu,10 IPTG",1192.750833,13941.772,103003.145
"2% Glu,10 IPTG",1203.4,14117.53181,66677.14405
"2% Glu,10 IPTG",1214.05,14181.69924,60010.35006
"2% Glu,10 IPTG",1224.7,14189.96848,48417.07405
